fare_amount,passenger_count,isAirport,year,hour,distance
10.1,2,0,2012,15,0.7453925683991425
16.5,1,0,2014,16,3.3578481475517497
15.07,2,0,2010,1,2.1259530223274012
7.7,1,0,2010,14,0.9268904946490516
24.9,1,0,2011,4,7.769198851360611
7.0,2,0,2013,22,1.4588965141475574
8.5,1,0,2014,22,1.2016249077462366
5.7,1,0,2010,16,0.9779451985339181
5.0,1,0,2013,15,0.5179526497869702
8.5,1,0,2013,8,0.9240107162817587
17.0,1,0,2013,21,3.665434950059422
8.0,1,0,2014,11,1.5738157483890425
12.0,1,0,2014,13,1.0271138923211243
12.5,1,0,2011,8,3.184000618174666
7.5,1,0,2014,6,1.5654503215320408
6.9,5,0,2012,5,1.0891350408701006
5.0,2,0,2015,14,0.3665465478863751
10.5,1,0,2010,21,2.4841874112749163
7.7,1,0,2011,11,1.3776159052499473
11.0,2,0,2015,16,1.2338362269662846
5.7,1,0,2009,15,0.8057210198127649
9.0,1,0,2013,14,1.3877438254720305
13.5,1,0,2013,17,1.9945999329859392
7.5,1,0,2013,17,0.8847615960053326
9.0,1,0,2014,12,0.9277245255415544
14.0,1,0,2015,8,2.175771032648169
5.7,3,0,2011,0,0.8131637354070093
10.0,1,0,2014,12,1.5175099364143665
5.7,5,0,2010,14,0.7326800401047626
9.7,2,0,2010,20,2.61900776207676
14.1,1,0,2011,7,3.81748287325644
7.7,2,0,2011,10,0.4683812798236263
52.0,1,0,2009,0,0.0
11.3,1,0,2010,10,2.5303545812079995
8.5,1,0,2012,9,2.05557455870292
12.9,6,0,2012,9,1.820533227137891
9.5,1,0,2012,11,0.35120652598231933
9.0,1,0,2014,18,1.2684993902673625
10.0,6,0,2014,8,1.2461760661326273
35.0,2,0,2012,18,4.721735004120872
9.0,1,0,2012,18,0.9265140406069413
17.0,1,0,2014,12,1.837468060669027
6.1,5,0,2009,18,0.6879300864558621
14.5,2,0,2010,2,2.869730151295511
3.7,1,0,2011,17,0.29903053555695536
32.5,2,1,2012,15,5.1579157235799
5.3,3,0,2010,10,0.9464063787963053
11.5,5,0,2012,21,2.0227013729857406
4.0,1,0,2013,23,0.5840072589088441
10.5,1,0,2010,16,1.6483007857011556
17.7,1,1,2012,19,6.038330962349556
5.0,1,0,2013,16,1.0439876339426113
19.0,1,0,2013,4,3.6455201235080112
8.0,1,0,2014,21,1.4470113848976802
7.3,2,0,2010,8,1.1635384355947231
6.5,5,0,2012,15,1.118492409322472
8.0,1,0,2013,0,0.8589961341375097
16.5,1,0,2014,23,3.3978711170283273
49.57,2,0,2009,21,12.33665414726905
10.5,1,0,2012,13,2.2817065302497066
22.5,5,0,2012,1,8.285210354564773
11.5,1,0,2012,6,1.9509123952673202
12.5,2,0,2014,16,0.7861790651633447
5.5,1,0,2013,18,0.44391301083534274
6.5,1,0,2013,11,1.1102504258720525
16.5,3,0,2015,7,3.9559224489685456
9.0,1,0,2015,22,1.8044402461423388
8.9,1,0,2009,10,1.2912570873662976
10.9,1,0,2009,17,2.3377208378071996
8.9,1,0,2011,15,1.709808436577102
8.5,1,0,2011,11,1.1119906749621367
17.0,1,0,2013,9,1.302032851915906
12.5,1,0,2010,1,3.8234879986652204
52.5,1,0,2014,22,12.701594068471099
16.0,1,0,2014,21,4.05104274020785
8.0,1,0,2015,22,1.2455090409819618
17.3,1,0,2010,7,5.477166704438219
5.7,1,0,2011,3,1.4197229052615268
5.5,1,0,2015,9,0.69369035564136
16.5,2,0,2009,13,4.1378806982934755
12.9,2,0,2009,20,3.2240600982717993
10.1,1,0,2011,13,1.9796759076339596
9.5,1,0,2013,21,0.9530072769143693
4.5,5,0,2010,15,0.61053231501314
6.5,1,0,2011,13,0.6011452827363553
21.5,1,0,2015,0,5.207805756073576
8.0,1,0,2014,12,0.6509077600708758
4.9,1,0,2009,21,0.7583832572053719
5.7,2,0,2010,13,0.5697980495702631
15.3,5,0,2011,13,3.7054169030714434
14.9,1,0,2012,12,2.4988548767629815
7.0,1,0,2012,18,0.7088043296673973
35.5,1,1,2013,18,8.7275138081913
8.5,1,0,2014,8,1.4201605744844028
4.5,1,0,2009,21,0.6513816469956683
4.1,1,0,2011,18,0.4216271851882124
11.7,1,0,2011,20,3.0113032511407867
23.0,1,0,2013,2,6.326852661469493
5.7,2,0,2009,23,0.6880667259007194
5.3,1,0,2009,9,0.891786764979181
10.5,1,0,2015,7,0.8543097579375911
4.9,1,0,2009,14,0.9717005713918533
6.5,4,0,2010,18,0.8900951719730391
11.3,2,0,2011,13,1.9152912787095986
11.5,1,0,2013,4,2.8468404783286068
5.3,2,0,2009,9,0.5262755002097721
5.7,1,0,2010,19,0.8701498445627769
8.1,1,0,2009,18,1.7478129054947824
6.1,1,0,2010,6,1.3920148913302157
9.3,1,0,2012,17,1.5375106341767573
4.5,2,0,2013,14,0.002474283172004868
5.7,4,0,2011,5,0.8612488338907539
16.5,2,0,2014,8,3.3147910431347674
17.0,2,0,2013,15,3.1915157905536837
24.5,6,0,2014,15,3.7219642282223813
6.1,1,0,2010,20,1.0420385083521853
6.0,1,0,2012,0,1.0283759498368643
6.5,1,0,2014,21,0.0
4.5,3,0,2012,18,0.6009604134661114
27.0,1,0,2013,7,4.387806312130603
16.0,1,0,2014,0,0.9806486177074016
16.1,1,0,2010,17,3.209412378645749
15.7,2,0,2010,17,2.2458888545791442
26.9,6,1,2012,0,6.623589835997874
5.5,1,0,2013,21,0.48382684897104133
6.0,1,0,2013,9,0.7294479570765691
7.7,1,0,2009,23,0.9928728161809971
12.9,1,0,2011,11,2.1809077289219574
11.3,1,0,2012,20,2.635851356197759
42.5,2,0,2011,16,11.175283879602688
5.7,2,0,2011,18,0.5978552297821741
5.3,2,0,2012,8,0.5527834560946909
10.5,1,0,2010,8,2.2559747333209703
7.3,1,0,2011,22,2.4202700722530865
4.5,1,0,2011,9,0.4613225866779328
12.5,1,0,2012,8,1.677126757133804
16.5,1,0,2013,22,4.117382514831743
4.9,2,0,2012,19,0.5712045093455171
4.1,1,0,2011,8,0.5872048372892616
15.5,1,0,2013,12,2.8090004371682564
11.0,1,0,2015,15,2.0474680763094724
4.9,2,0,2009,19,0.6939860846396619
11.3,1,0,2009,1,3.575073203062487
7.3,1,0,2011,14,2.183954859213203
14.9,6,0,2012,11,1.4580733043451677
30.9,5,0,2012,7,5.8717651703080485
6.1,1,0,2012,20,1.1286905593820022
3.3,1,0,2010,9,0.0955818428006495
4.1,1,0,2012,7,0.42855798778911014
12.0,3,0,2014,14,1.445003184784972
9.0,1,0,2014,11,0.7338195894017763
2.5,1,0,2012,3,0.042970503208083724
8.9,1,0,2012,13,1.4669543864555135
10.5,1,0,2014,4,1.1716361656937961
5.7,1,0,2010,19,0.6241214543113937
7.0,2,0,2012,19,0.9451818143954407
12.0,1,0,2014,23,3.059910886846131
49.57,1,0,2010,14,12.619790801579626
4.5,1,0,2012,18,0.9229633513893511
7.3,5,0,2009,21,1.1229580997785338
5.3,1,0,2010,0,1.2534418633985542
6.9,5,0,2010,19,1.6531585881527282
9.3,1,0,2012,18,1.593630984733107
6.7,1,0,2009,16,1.055571151719916
7.3,1,0,2009,19,1.3815500024399259
9.0,1,0,2013,8,1.5184436610184098
13.0,2,0,2013,14,2.0485394713236014
19.0,1,0,2013,6,5.706847760352463
5.5,1,0,2013,22,0.6342015021759243
8.1,1,0,2009,7,2.176153454829498
9.3,1,0,2011,13,1.9028906623828215
18.0,1,0,2013,19,3.0056507809372803
12.0,1,0,2014,12,1.3055529206231435
7.3,1,0,2009,22,1.4276603750819634
4.9,2,0,2009,15,0.7653037891356193
16.1,1,1,2010,21,2.6786184498828005
12.9,2,0,2011,8,3.705484872809869
4.0,1,0,2015,19,0.3985309387841605
15.3,1,0,2011,12,2.868476073256108
11.7,1,0,2012,17,2.269577397720613
25.3,1,0,2010,23,9.307566026972264
8.9,1,0,2010,2,1.9060807933152497
6.0,1,0,2013,2,0.4698015336253144
6.0,1,0,2013,3,0.7669822766448381
6.5,1,0,2011,11,0.930174957035409
7.5,1,0,2012,21,1.2789508547175568
16.5,1,0,2015,14,1.2320323044596497
4.9,1,0,2010,9,0.5132744806021869
9.7,1,0,2012,19,2.7741786192006925
7.7,1,0,2012,13,1.8152268784103227
19.0,2,0,2014,9,3.903516692503125
16.9,1,0,2009,13,5.79995335962429
10.5,2,0,2012,12,1.5445729886840833
8.9,3,0,2011,18,1.3166636734920023
7.5,1,0,2012,1,0.0
5.5,1,0,2012,13,0.5626421850451028
10.9,1,0,2009,18,2.5097503797002747
5.7,1,0,2010,22,1.1221760735344186
18.1,2,0,2009,11,3.6571519443705953
10.9,5,0,2010,6,3.020394628709362
8.9,5,0,2011,18,2.4539105885601358
13.5,2,0,2014,23,3.5006806034508675
5.0,2,0,2014,20,0.8785642834455588
5.3,1,0,2011,19,0.7017891629865861
7.7,1,0,2012,2,1.030638220481589
9.0,1,0,2013,14,1.6124989775004372
16.1,1,0,2011,0,1.7827614068805135
4.9,2,0,2012,16,0.6555866253773106
5.5,1,0,2012,10,0.7803962141572384
57.33,1,1,2013,17,13.281825367778817
8.5,3,0,2014,22,1.1429115677180262
9.5,1,0,2014,14,2.490760024641617
7.5,1,0,2015,13,1.2041760761730234
6.9,1,0,2009,12,0.0
7.5,2,0,2013,2,1.1028019844857502
8.1,1,0,2009,10,1.2460241531941596
6.1,3,0,2011,23,1.4688033379903689
5.7,1,0,2012,13,0.547177733401287
14.1,1,0,2010,8,2.5961789209675774
5.7,1,0,2011,15,1.0407960772263167
7.0,1,0,2013,11,0.8749018615830606
12.0,1,0,2014,2,2.2001462756269436
11.5,1,0,2015,8,2.0830109151031047
12.1,1,1,2010,22,2.656383126037174
26.67,1,0,2010,13,5.084717768080291
4.5,1,0,2010,9,0.7668973139325694
10.1,1,0,2011,20,1.953813962338309
7.7,1,0,2011,10,1.747241074488245
25.0,2,0,2014,5,4.6961096898994015
19.0,1,0,2014,10,3.0543035318452505
14.0,1,0,2013,11,2.0832563617753395
5.0,1,0,2013,1,0.7434925993747051
43.5,1,0,2015,22,9.780758264056887
8.0,1,0,2015,9,1.1048162791805165
8.7,4,0,2009,17,1.9669831135025648
3.7,1,0,2011,21,0.38492442411532635
20.5,1,0,2011,1,6.858772422933114
34.0,0,0,2015,23,9.679559148062483
52.83,1,1,2015,12,5.741440875069737
6.1,1,0,2009,22,1.141232505425624
8.5,1,0,2013,13,1.0104025875931435
20.0,1,0,2014,19,0.16014635667251015
10.5,1,0,2010,8,2.7764844412113248
26.5,1,1,2012,22,4.815017997295099
8.0,4,0,2015,21,1.271390920095544
10.6,1,0,2009,0,1.7451101270462364
4.5,1,0,2010,7,0.6879625386012175
9.7,1,0,2011,22,2.0341567365152335
20.5,1,0,2011,8,4.757068322387963
9.3,1,0,2012,10,1.960895505042534
18.5,1,0,2014,21,3.093257691549582
5.0,2,0,2014,21,0.2624245124642049
34.0,1,1,2009,8,5.885676216695338
23.5,1,0,2012,20,4.502999283830827
4.5,3,0,2009,15,0.33483338908800375
8.0,1,0,2013,13,1.307332686632094
26.5,5,0,2010,20,0.05372531884789518
5.5,2,0,2014,11,0.5837318727101809
6.1,1,0,2009,20,0.5452760902701015
4.9,4,0,2010,17,0.44923747080043075
5.3,1,0,2010,14,1.109385440055245
8.1,1,0,2011,14,1.2716031393813496
20.33,1,0,2013,0,2.7590460081194985
4.5,1,0,2013,20,0.6017354106079882
7.0,1,0,2014,12,1.2839561431523607
7.7,1,0,2009,12,1.5152130036432996
7.3,1,0,2009,10,0.7577671675340294
33.07,2,1,2010,14,6.444783505568444
36.5,5,1,2011,13,5.598306139964219
5.0,2,0,2014,5,0.4856575763756744
23.5,1,0,2014,17,3.4209712867525948
6.1,1,0,2012,15,0.8848709996049746
11.0,1,0,2013,18,1.5730681865915535
6.0,6,0,2014,15,0.7699802983847582
11.3,5,0,2009,11,3.13252734909951
8.1,1,0,2009,19,1.0627036492999076
8.9,3,0,2010,22,1.9148488519683795
4.5,1,0,2011,22,1.0161916823745718
11.0,1,0,2013,19,1.3334136581792566
8.5,1,0,2013,10,1.0053864938018375
8.1,1,0,2010,11,1.156524917593188
6.9,1,0,2010,15,0.739499723530146
6.0,1,0,2013,22,0.6715937790159178
5.3,1,0,2009,20,0.6787342522921702
6.1,1,0,2011,0,0.7620713956615309
9.5,2,0,2012,0,1.7699696936589142
11.5,1,0,2013,9,1.638840939655911
17.0,6,0,2015,9,3.0620438061296475
5.3,1,0,2009,14,0.7915678291010443
10.0,1,0,2013,16,1.6420460271919515
15.5,1,0,2014,1,2.314936379802279
6.9,1,0,2010,17,1.1849043486220685
18.1,1,0,2011,12,4.179409084084198
15.5,1,0,2015,9,1.0594955040317084
10.1,1,0,2012,1,2.4708118117148894
21.5,6,0,2013,19,4.750765355289219
8.5,1,0,2014,20,0.7253819243262083
7.3,1,0,2012,16,0.6621146309801249
8.5,1,0,2014,15,0.7548619550531247
6.1,5,0,2010,9,0.8392615886036048
14.1,1,0,2012,19,2.986300190195578
6.0,1,0,2013,15,0.5748221063417487
8.5,1,0,2014,13,1.120801546119037
8.0,1,0,2015,9,1.0159383916376639
5.3,1,0,2012,16,1.0089040575151658
10.5,1,0,2014,19,1.670769457853703
5.5,1,0,2015,7,0.6829125385457739
8.1,1,0,2009,19,1.219808144922499
8.5,1,0,2014,9,0.48044131430635373
6.1,1,0,2010,16,1.1807737316613873
12.9,1,0,2010,11,2.8502427373329713
10.0,5,0,2014,21,3.9376352304810247
8.5,6,0,2014,20,1.2088336200633893
4.9,1,0,2010,18,0.4489219590099008
6.0,1,0,2012,13,1.1430097988539132
5.0,1,0,2014,8,0.3605920406895442
12.0,1,0,2014,18,0.0
13.5,1,0,2013,15,1.55522849224998
33.83,1,0,2015,14,5.421458610945959
25.7,1,0,2009,5,6.846149624562806
13.7,3,0,2010,8,2.69302787270606
10.5,1,0,2011,22,2.3715996307335554
5.7,1,0,2012,11,0.7356430704853649
9.0,2,0,2013,17,1.6937689399880538
22.5,1,0,2014,11,4.50788252816752
7.5,1,0,2014,11,0.7542669233888226
14.1,1,0,2011,18,2.74905509268797
9.3,1,0,2012,21,1.4279574616939537
4.0,1,0,2014,18,0.34503996699570777
5.5,1,0,2014,16,0.6538626230453192
9.3,1,0,2009,12,1.194766019728849
7.3,2,0,2010,9,1.067833837039865
4.5,1,0,2013,12,0.49149924092347075
13.0,1,0,2013,11,1.3539828577504969
5.7,2,0,2010,16,0.7391615689818485
8.0,1,0,2014,13,1.0252560995345652
20.5,2,0,2015,20,4.644491459006742
9.3,1,0,2011,11,2.1593667064720004
8.5,2,0,2011,8,1.7118127672228298
8.1,1,0,2012,22,1.531366361831861
5.0,5,0,2013,9,0.4704143236916691
5.3,5,0,2009,5,0.313012158450504
5.3,1,0,2010,13,0.8651379856946567
6.9,2,0,2011,8,1.5890291233264136
8.5,1,0,2014,7,1.1288686189414052
6.5,1,0,2012,8,1.5435416641417834
29.0,1,0,2012,2,2.9496089659543685
21.0,6,0,2014,22,4.321580715124471
14.5,2,0,2009,10,2.9515732676817197
32.9,1,0,2009,10,5.775955808802443
6.1,1,0,2011,7,1.8699195059067202
13.0,1,0,2013,10,1.598853269334266
15.0,1,0,2014,12,1.1262393356488332
4.9,1,0,2010,14,0.5948480052569793
8.9,5,0,2010,21,1.7279005688731945
8.1,1,0,2012,20,1.473683772010808
6.0,1,0,2013,16,0.8022325846083896
57.33,1,1,2014,23,12.758482309895248
8.0,1,0,2014,13,1.0688420723459862
8.5,1,0,2009,17,1.4589537873820497
8.9,1,0,2010,15,2.2191992589810328
10.5,5,0,2010,9,0.5844389953918739
10.1,2,0,2010,15,3.4724603204192306
49.8,3,0,2011,13,13.307491015927091
5.0,1,0,2015,17,0.659440149228006
6.0,1,0,2015,17,0.8339671618143806
13.3,1,0,2010,23,2.486444087901826
7.0,1,0,2015,7,0.3496783879320914
10.5,2,0,2012,13,1.9375525556673105
56.8,1,0,2012,13,12.884737470379394
14.5,1,0,2013,18,2.2303588634198954
11.3,2,0,2010,22,0.059468379489753385
6.5,1,0,2011,17,0.5497878771735802
5.7,1,0,2011,14,1.1330310775384742
13.0,1,0,2013,1,2.273258017609001
22.0,5,0,2014,1,4.779253143800357
18.5,1,0,2011,0,2.8758758346764637
14.1,2,0,2012,18,2.4801177417901297
4.5,2,0,2010,21,0.6745847306441914
24.0,1,1,2014,11,6.492270373117756
25.7,1,0,2010,13,6.14637000915057
3.3,1,0,2011,10,0.24922345677749558
8.5,1,0,2012,5,2.3136142109796927
5.3,1,0,2010,22,0.9534330547963756
4.5,1,0,2011,1,0.589911260107371
3.7,2,0,2009,22,0.6222751796836734
8.1,1,0,2011,11,0.9635983589881411
16.1,2,0,2010,14,4.000397992564577
12.9,1,0,2011,0,2.953154303309225
8.1,2,0,2011,13,0.9305099273913132
9.5,1,0,2013,11,1.2185978065799294
23.5,2,0,2014,0,5.465058320648238
11.0,1,0,2009,20,2.567944734976263
6.1,2,0,2011,18,1.108382221666399
28.0,1,1,2014,11,5.134549699030609
10.0,1,0,2014,8,0.62722553742931
10.1,1,0,2009,11,1.3582526488555229
7.7,5,0,2011,4,1.7628599643772476
8.0,1,0,2014,22,1.0689266896364373
6.1,1,0,2009,18,0.7962432727885601
20.5,1,0,2012,11,3.0312187859554194
9.5,1,0,2013,10,1.2516040282863488
7.0,1,0,2014,5,0.8192637521665621
8.5,1,0,2011,7,2.3628478456040485
7.5,2,0,2014,21,1.1067741439069472
11.5,1,0,2015,19,1.9382636854621773
7.7,1,0,2010,8,1.7574876320962143
6.1,2,0,2011,20,1.0947700083081677
38.5,2,0,2012,23,7.689752136088854
11.5,2,0,2015,11,1.9088613932801912
6.0,1,0,2012,23,1.3061878058326926
17.0,1,0,2013,18,2.033605220323407
7.5,1,0,2014,21,0.7045850997192807
5.5,1,0,2015,11,0.8102016024212217
6.9,1,0,2011,17,0.8069473458953433
3.0,1,0,2013,12,0.18178356764441198
12.5,1,0,2014,19,2.3259369947157196
38.8,1,0,2012,11,5.83825765498915
6.0,1,0,2013,4,0.5546022703541279
6.5,1,0,2014,7,1.2402550569167494
14.5,1,0,2014,1,3.6053458514762755
2.5,1,0,2010,1,0.0
4.1,1,0,2009,17,0.5431194435843265
13.3,2,0,2010,14,4.081404499512811
6.0,3,0,2012,23,1.061040001001248
6.5,1,0,2013,16,0.8052417987142606
12.5,1,0,2013,11,2.5664130897097976
21.5,1,0,2014,12,3.5643523702138498
49.57,2,1,2010,18,0.0001734649446776119
38.1,1,0,2010,4,11.779382075405435
10.1,1,0,2011,2,1.8963694453522835
4.5,1,0,2010,18,0.30893465949151055
5.3,3,0,2011,13,0.956669043150517
8.0,1,0,2013,23,0.8470000121684644
7.7,1,0,2009,21,1.3025079794602519
7.5,2,0,2012,9,2.605141088592914
5.5,1,0,2015,13,0.37098076935023117
7.7,1,0,2009,18,1.1045645086906195
8.1,1,0,2010,21,1.9964807525717772
5.5,1,0,2014,13,0.4505331260500393
6.5,1,0,2015,7,0.7502383642064754
4.5,1,0,2013,23,0.3978238986426319
7.0,1,0,2013,18,0.8584674830896457
17.5,1,0,2014,12,2.1767216519301833
4.9,2,0,2011,14,0.4393633580708647
6.0,1,0,2013,12,1.118368040284325
4.5,5,0,2010,20,0.38730309674258
10.5,1,0,2014,11,1.1238741011486435
8.9,1,0,2010,22,2.561950508968563
6.1,5,0,2010,16,1.640621334179683
14.5,1,0,2010,13,3.790460915527343
6.1,2,0,2010,12,0.6520995527275387
5.7,1,0,2012,23,0.8320204067364682
8.0,5,0,2013,13,0.8472474295210296
5.5,1,0,2013,15,1.2403072595348463
52.0,1,0,2014,12,0.6374797124096989
49.8,2,0,2011,11,14.33309708085886
49.8,1,0,2012,17,2.1744386006124747
16.5,1,0,2014,13,2.6229785170826845
11.3,5,0,2010,17,1.8067173841939577
10.0,2,0,2012,12,1.4740335427543676
16.5,1,0,2012,3,3.766764114000836
8.9,2,0,2009,12,2.0879801942690612
6.9,1,0,2011,13,1.6876372458856157
5.0,1,0,2013,23,0.433073313152616
4.0,1,0,2014,2,0.2732139568984525
5.7,1,0,2009,9,0.834087129337149
2.9,1,0,2011,9,0.1569737979837241
52.0,1,1,2012,5,13.071332077088513
10.5,1,0,2013,11,2.2802337123748337
38.83,3,0,2013,15,5.954716300108083
4.5,5,0,2013,21,0.6870473668864415
7.0,1,0,2014,2,1.3145316459044787
12.9,1,0,2010,20,1.9018649276723378
7.3,2,0,2011,21,1.2849761341044552
4.9,1,0,2011,23,0.6423958657489285
5.5,1,0,2013,10,0.8776174163868107
13.5,1,0,2013,10,1.8895584668342347
22.0,1,0,2014,14,3.7402697147160593
11.0,1,1,2014,20,2.561204431630432
5.0,1,0,2009,20,0.4413658274581312
9.7,1,0,2010,19,2.1783108168618286
4.9,0,0,2012,21,0.6338729510901224
9.5,1,0,2013,23,2.0872636266876663
8.5,6,0,2015,14,0.7625480163106082
5.5,1,0,2012,14,0.574634029209292
10.5,1,0,2014,22,1.2840934577175707
4.5,2,0,2009,22,0.6096439220673316
4.9,5,0,2009,22,0.5193547732439401
7.3,1,0,2010,16,1.6160316590400419
5.3,1,0,2011,7,0.3408221458391303
14.1,1,0,2011,18,2.8781042040147145
6.5,1,0,2014,8,0.6497632170559039
3.7,3,0,2010,10,0.3880323085980536
11.7,1,0,2012,18,2.5887055544550694
9.0,2,0,2014,21,1.2028129005441441
10.1,1,0,2009,8,2.315248794942143
49.8,5,1,2012,8,12.515916226784604
8.1,1,0,2012,19,0.935023348569649
7.3,1,0,2009,8,0.8771004940832744
5.7,2,0,2011,23,0.4871796339864534
10.5,1,0,2011,20,1.2303920186084853
8.1,5,0,2012,19,2.3420062424495316
28.5,1,0,2012,9,2.664204248850004
14.9,2,0,2010,19,2.6709191094706326
13.7,1,0,2011,14,2.9143997213523236
7.3,1,0,2012,18,0.7428575955029724
5.5,1,0,2014,7,0.4260962884142151
11.5,1,0,2013,8,1.1279672483923757
8.0,1,0,2015,20,1.2208387658736584
4.9,1,0,2009,14,0.7449557227606184
3.7,1,0,2010,21,0.3492791772786831
13.5,5,0,2012,23,2.670882656037426
10.5,1,0,2011,8,3.0799284370828097
10.0,2,0,2014,18,1.032518858250875
11.5,2,0,2014,3,1.9044158923843049
16.0,1,0,2014,18,2.1261704231191763
8.9,2,0,2009,15,1.8791806064669339
4.5,1,0,2012,17,0.8119150194435464
9.5,1,0,2014,17,1.8224626120608205
5.3,5,0,2010,11,0.9409470323147813
4.1,1,0,2010,6,0.4512079510871021
8.1,1,0,2011,7,1.2003354548580905
18.1,1,0,2011,8,4.390635859220836
9.7,1,0,2012,13,1.0208629858967964
6.0,1,0,2012,10,0.7892450598426737
5.0,1,0,2014,8,0.6064523787195599
6.9,2,0,2012,13,0.8514902135383002
14.5,1,0,2014,19,2.3227420949021678
14.1,1,0,2009,14,0.8742833669101613
6.9,1,0,2012,21,1.0542880257401852
16.0,1,1,2013,20,0.0015578079215465583
6.5,6,0,2015,1,0.7421864292622536
3.3,1,0,2010,2,0.6424357588941569
6.5,2,0,2011,10,0.6484745383326902
5.0,2,0,2013,9,0.4620471200141207
6.1,1,0,2011,6,1.7359524471948244
57.33,1,1,2014,9,13.8614276784763
5.3,1,0,2009,18,1.032315230233493
10.9,3,0,2011,17,1.5672388510135755
4.1,1,0,2011,2,0.42856236892350547
11.3,5,0,2012,19,2.5171564325132505
5.5,1,0,2013,14,0.5107343233893343
10.0,1,0,2014,22,2.349673189278318
4.0,1,0,2014,16,0.3010214874585775
2.9,1,0,2009,16,0.15956761496666216
6.9,1,0,2011,16,1.3808278512405128
8.9,2,0,2011,22,1.4691027862752077
4.5,1,0,2013,19,0.5226356505781762
4.5,5,0,2013,11,0.18355438640015356
12.9,1,0,2011,23,2.9379377772097155
5.3,2,0,2010,8,1.0852310628774582
6.9,1,0,2010,17,1.0570857742987236
16.1,5,0,2010,7,5.3927400291759024
26.9,1,1,2011,17,4.710270813013116
6.0,1,0,2013,17,1.2332427916673425
6.0,1,0,2014,11,1.0275382179067247
14.5,2,0,2014,19,1.0464778726652753
3.3,1,0,2011,22,0.30574529451996535
9.7,1,0,2011,19,2.3085810096906747
4.5,2,0,2012,15,0.5436645695385016
15.5,1,0,2012,17,2.732513081738833
15.5,1,0,2014,14,1.9936298337028717
14.0,2,0,2015,22,2.5014525740998352
14.1,1,0,2010,21,3.169879884357641
18.5,2,0,2010,17,3.496480290976328
12.1,1,0,2011,18,1.6548011248002947
11.7,1,0,2012,13,1.953466893972143
3.5,1,0,2012,9,0.28837143193488673
10.5,3,0,2014,0,1.607380535479213
20.5,1,0,2014,7,3.8193588091941906
2.5,1,0,2009,1,0.0
21.0,1,0,2013,18,3.2595457750128123
